request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Full payment of INR 43900 today on 2025-08-06. Maintains minimum balance requirement of INR 99700.00 (forecast safety margin is INR 100472.39).
request_51,1650339.76,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 2191000 request by desired completion date 2026-02-28. Although safe amount today is IDR 1650339.76, full payment cannot be safely completed without breaching the minimum balance requirement of IDR 7811000.00."
request_52,18573.87,affordable_later,wait,none,2024-06-15,none,Wait until 2024-06-15 to pay INR 28870 in full. Paying before 2024-06-15 would breach the INR 41500.00 minimum balance requirement.
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,Payment option payment_option_145: 3 installments of USD 589.06 starting 2025-11-21 totaling USD 1767.18. Maintains balance above minimum requirement USD 2100.00.
request_54,4323.9,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121528 request by desired completion date 2026-08-21. Although safe amount today is ZAR 4323.9, full payment cannot be safely completed without breaching the minimum balance requirement of ZAR 37000.00."
request_55,116178.09,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 218600 request by desired completion date 2026-08-22. Although safe amount today is INR 116178.09, full payment cannot be safely completed without breaching the minimum balance requirement of INR 124300.00."
request_56,678.32,affordable_with_plan,partial_payment,2025-02-03:678.32|2025-02-15:203.24,2025-02-15,none,Partial payment plan: Pay safe amount USD 678.32 today on 2025-02-03 and remaining USD 203.24 on 2025-02-15. Completes full requested USD 881.56 by desired completion date 2025-03-13 while protecting USD 2100.00 minimum.
request_57,7929.57,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 61446 request by desired completion date 2026-06-15. Although safe amount today is ZAR 7929.57, full payment cannot be safely completed without breaching the minimum balance requirement of ZAR 42700.00."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Full payment of IDR 16226000 today on 2024-12-07. Maintains minimum balance requirement of IDR 14433900.00 (forecast safety margin is IDR 23121159.71).
request_59,140600,affordable_with_plan,installments,2025-05-04:140600,2025-05-04,none,Payment option payment_option_164: 1 installments of INR 140600 starting 2025-05-04 totaling INR 140600. Maintains balance above minimum requirement INR 132600.00.
request_60,53.98,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 199.89 request by desired completion date 2026-03-04. Although safe amount today is USD 53.98, full payment cannot be safely completed without breaching the minimum balance requirement of USD 400.00."
request_61,29062,affordable_with_plan,installments,2024-03-03:29062,2024-03-03,none,Payment option payment_option_170: 1 installments of ZAR 29062 starting 2024-03-03 totaling ZAR 29062. Maintains balance above minimum requirement ZAR 36700.00.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Full payment of USD 404.23 today on 2025-08-05. Maintains minimum balance requirement of USD 1300.00 (forecast safety margin is USD 3727.11).
request_63,55478.54,affordable_with_plan,partial_payment,2026-07-07:55478.54|2026-09-15:288421.46,2026-09-15,none,Partial payment plan: Pay safe amount INR 55478.54 today on 2026-07-07 and remaining INR 288421.46 on 2026-09-15. Completes full requested INR 343900 by desired completion date 2026-09-17 while protecting INR 153500.00 minimum.
request_64,0,not_affordable,not_recommended,none,,none,Do not make this payment by desired completion date 2024-08-16. None of the available payment options keeps the INR 36100.00 minimum balance protected.
request_65,6603.66,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54340 request by desired completion date 2025-11-25. Although safe amount today is ZAR 6603.66, full payment cannot be safely completed without breaching the minimum balance requirement of ZAR 15500.00."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Full payment of INR 22200 today on 2026-04-03. Maintains minimum balance requirement of INR 80700.00 (forecast safety margin is INR 179419.61).
request_67,433.27,affordable_later,wait,none,2024-11-15,none,Wait until 2024-11-15 to pay USD 2094 in full. Paying before 2024-11-15 would breach the USD 1200.00 minimum balance requirement.
request_68,1315.92,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,Payment option payment_option_187: 3 installments of USD 725.09 starting 2025-02-14 totaling USD 2175.27. Maintains balance above minimum requirement USD 1500.00.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Full payment of EUR 529.1 today on 2026-01-04. Maintains minimum balance requirement of EUR 700.00 (forecast safety margin is EUR 537.29).
request_70,59952.21,affordable_later,wait,none,2025-02-15,none,Wait until 2025-02-15 to pay INR 243900 in full. Paying before 2025-02-15 would breach the INR 115000.00 minimum balance requirement.
request_71,702923.73,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21451000 request by desired completion date 2025-05-28. Although safe amount today is IDR 702923.73, full payment cannot be safely completed without breaching the minimum balance requirement of IDR 8884800.00."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Full payment of ZAR 11330 today on 2026-07-05. Maintains minimum balance requirement of ZAR 12200.00 (forecast safety margin is ZAR 11718.36).
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Full payment of INR 71400 today on 2023-01-20. Maintains minimum balance requirement of INR 103200.00 (forecast safety margin is INR 78779.93).
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Full payment of ZAR 5010 today on 2025-08-04. Maintains minimum balance requirement of ZAR 21900.00 (forecast safety margin is ZAR 46444.36).
request_75,28270,affordable_with_plan,installments,2026-04-06:28270,2026-04-06,none,Payment option payment_option_209: 1 installments of ZAR 28270 starting 2026-04-06 totaling ZAR 28270. Maintains balance above minimum requirement ZAR 39000.00.
request_76,830.9,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 4455.6 request by desired completion date 2024-07-30. Although safe amount today is USD 830.9, full payment cannot be safely completed without breaching the minimum balance requirement of USD 1800.00."
request_77,60304.08,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 60700 request by desired completion date 2025-11-14. Although safe amount today is INR 60304.08, full payment cannot be safely completed without breaching the minimum balance requirement of INR 82200.00."
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Full payment of INR 50200 today on 2025-10-02. Maintains minimum balance requirement of INR 55200.00 (forecast safety margin is INR 56734.74).
request_79,411.15,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2151.6 request by desired completion date 2024-11-01. Although safe amount today is EUR 411.15, full payment cannot be safely completed without breaching the minimum balance requirement of EUR 1000.00."
request_80,118270.34,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217500 request by desired completion date 2025-02-21. Although safe amount today is INR 118270.34, full payment cannot be safely completed without breaching the minimum balance requirement of INR 121300.00."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Full payment of USD 2076 today on 2026-07-03. Maintains minimum balance requirement of USD 1600.00 (forecast safety margin is USD 2453.36).
request_82,301.8,affordable_later,wait,none,2025-02-15,none,Wait until 2025-02-15 to pay USD 1405.2 in full. Paying before 2025-02-15 would breach the USD 1100.00 minimum balance requirement.
request_83,7678.92,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156200 request by desired completion date 2025-06-17. Although safe amount today is INR 7678.92, full payment cannot be safely completed without breaching the minimum balance requirement of INR 37800.00."
request_84,30326.2,affordable_later,wait,none,2026-05-15,none,Wait until 2026-05-15 to pay INR 95400 in full. Paying before 2026-05-15 would breach the INR 91300.00 minimum balance requirement.
request_85,206682.57,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19304000 request by desired completion date 2024-04-26. Although safe amount today is IDR 206682.57, full payment cannot be safely completed without breaching the minimum balance requirement of IDR 6396300.00."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Full payment of INR 46300 today on 2025-08-03. Maintains minimum balance requirement of INR 84900.00 (forecast safety margin is INR 55433.20).
request_87,32893.91,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487900 request by desired completion date 2026-03-15. Although safe amount today is INR 32893.91, full payment cannot be safely completed without breaching the minimum balance requirement of INR 185900.00."
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,Payment option payment_option_245: 3 installments of ZAR 9045.23 starting 2024-06-14 totaling ZAR 27135.69. Maintains balance above minimum requirement ZAR 25800.00.
request_89,9621489.3,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,Payment option payment_option_248: 3 installments of IDR 4768746.67 starting 2025-11-18 totaling IDR 14306240.01. Maintains balance above minimum requirement IDR 12534700.00.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Full payment of ZAR 2560 today on 2026-07-06. Maintains minimum balance requirement of ZAR 7600.00 (forecast safety margin is ZAR 23342.18).
request_91,568.45,affordable_later,wait,none,2024-11-15,none,Wait until 2024-11-15 to pay EUR 1927.2 in full. Paying before 2024-11-15 would breach the EUR 2100.00 minimum balance requirement.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Full payment of ZAR 34034 today on 2025-02-05. Maintains minimum balance requirement of ZAR 28100.00 (forecast safety margin is ZAR 38848.05).
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Full payment of USD 1729.2 today on 2026-04-07. Maintains minimum balance requirement of USD 1900.00 (forecast safety margin is USD 1845.86).
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Full payment of EUR 572 today on 2024-12-04. Maintains minimum balance requirement of EUR 600.00 (forecast safety margin is EUR 1996.96).
request_95,46806.5,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553000 request by desired completion date 2025-07-14. Although safe amount today is INR 46806.5, full payment cannot be safely completed without breaching the minimum balance requirement of INR 145500.00."
request_96,77204.09,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,Payment option payment_option_269: 3 installments of INR 31269.33 starting 2026-01-10 totaling INR 93807.99. Maintains balance above minimum requirement INR 56500.00.
request_97,2929.44,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,Payment option payment_option_272: 3 installments of ZAR 8145.28 starting 2024-03-19 totaling ZAR 24435.84. Maintains balance above minimum requirement ZAR 29700.00.
request_98,8670.02,affordable_later,wait,none,2025-09-15,none,Wait until 2025-09-15 to pay ZAR 27148 in full. Paying before 2025-09-15 would breach the ZAR 30000.00 minimum balance requirement.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Full payment of ZAR 18062 today on 2026-07-04. Maintains minimum balance requirement of ZAR 49100.00 (forecast safety margin is ZAR 22705.86).
request_100,28608.42,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Payment option payment_option_281: 3 installments of ZAR 12866.19 starting 2024-06-13 totaling ZAR 38598.57. Maintains balance above minimum requirement ZAR 32500.00.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Full payment of INR 143500 today on 2025-11-03. Maintains minimum balance requirement of INR 187400.00 (forecast safety margin is INR 166482.84).
request_102,1716,affordable_with_plan,installments,2026-04-05:1716,2026-04-05,none,Payment option payment_option_288: 1 installments of EUR 1716 starting 2026-04-05 totaling EUR 1716. Maintains balance above minimum requirement EUR 900.00.
request_103,3699.43,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368300 request by desired completion date 2024-10-07. Although safe amount today is INR 3699.43, full payment cannot be safely completed without breaching the minimum balance requirement of INR 125500.00."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Full payment of ZAR 17204 today on 2025-02-04. Maintains minimum balance requirement of ZAR 24700.00 (forecast safety margin is ZAR 21345.04).
request_105,46068.17,affordable_with_plan,installments,2026-06-11:9630|2026-07-09:9630|2026-08-06:9630|2026-09-03:9630|2026-10-01:9630|2026-10-29:9630,2026-06-15,none,Payment option payment_option_297: 6 installments of INR 9630 starting 2026-06-11 totaling INR 57780. Maintains balance above minimum requirement INR 73900.00.
request_106,371.16,affordable_later,wait,none,2025-02-15,none,Wait until 2025-02-15 to pay EUR 2207.7 in full. Paying before 2025-02-15 would breach the EUR 1200.00 minimum balance requirement.
request_107,2534.4,affordable_with_plan,installments,2025-05-05:2534.4,2025-05-05,none,Payment option payment_option_302: 1 installments of EUR 2534.4 starting 2025-05-05 totaling EUR 2534.4. Maintains balance above minimum requirement EUR 1600.00.
request_108,3443.44,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 55308 request by desired completion date 2026-07-26. Although safe amount today is ZAR 3443.44, full payment cannot be safely completed without breaching the minimum balance requirement of ZAR 24100.00."
request_109,631.62,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,Payment option payment_option_307: 3 installments of EUR 645.98 starting 2024-03-18 totaling EUR 1937.94. Maintains balance above minimum requirement EUR 1700.00.
request_110,22352,affordable_with_plan,installments,2025-08-06:22352,2025-08-06,none,Payment option payment_option_311: 1 installments of ZAR 22352 starting 2025-08-06 totaling ZAR 22352. Maintains balance above minimum requirement ZAR 11200.00.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Full payment of IDR 16625000 today on 2026-04-03. Maintains minimum balance requirement of IDR 23022800.00 (forecast safety margin is IDR 27031147.78).
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Full payment of EUR 271.7 today on 2024-06-05. Maintains minimum balance requirement of EUR 500.00 (forecast safety margin is EUR 322.17).
request_113,20187.58,affordable_later,wait,none,2026-10-15,none,Wait until 2026-10-15 to pay INR 36500 in full. Paying before 2026-10-15 would breach the INR 82300.00 minimum balance requirement.
request_114,17333.76,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 65300 request by desired completion date 2026-01-14. Although safe amount today is INR 17333.76, full payment cannot be safely completed without breaching the minimum balance requirement of INR 113400.00."
request_115,16371.71,affordable_later,wait,none,2024-10-15,none,Wait until 2024-10-15 to pay INR 80500 in full. Paying before 2024-10-15 would breach the INR 38800.00 minimum balance requirement.
request_116,11787.79,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241200 request by desired completion date 2025-04-16. Although safe amount today is INR 11787.79, full payment cannot be safely completed without breaching the minimum balance requirement of INR 80300.00."
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Full payment of EUR 880 today on 2026-07-05. Maintains minimum balance requirement of EUR 1000.00 (forecast safety margin is EUR 894.25).
request_118,682.19,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,Payment option payment_option_334: 3 installments of EUR 255.87 starting 2024-12-07 totaling EUR 767.61. Maintains balance above minimum requirement EUR 600.00.
request_119,61380.69,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 203500 request by desired completion date 2025-07-17. Although safe amount today is INR 61380.69, full payment cannot be safely completed without breaching the minimum balance requirement of INR 151200.00."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Full payment of IDR 7714000 today on 2026-04-06. Maintains minimum balance requirement of IDR 20050300.00 (forecast safety margin is IDR 9637000.81).
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Full payment of USD 633.6 today on 2024-03-03. Maintains minimum balance requirement of USD 800.00 (forecast safety margin is USD 743.41).
request_122,20558000,affordable_with_plan,installments,2025-08-05:20558000,2025-08-05,none,Payment option payment_option_348: 1 installments of IDR 20558000 starting 2025-08-05 totaling IDR 20558000. Maintains balance above minimum requirement IDR 12588500.00.
request_123,2741791.1,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 4076000 request by desired completion date 2026-03-28. Although safe amount today is IDR 2741791.1, full payment cannot be safely completed without breaching the minimum balance requirement of IDR 18091200.00."
request_124,1498.4,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,Payment option payment_option_352: 3 installments of EUR 1076.12 starting 2024-06-11 totaling EUR 3228.36. Maintains balance above minimum requirement EUR 1600.00.
request_125,5649.09,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 6468 request by desired completion date 2025-11-14. Although safe amount today is ZAR 5649.09, full payment cannot be safely completed without breaching the minimum balance requirement of ZAR 11300.00."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Full payment of INR 159600 today on 2026-07-03. Maintains minimum balance requirement of INR 129700.00 (forecast safety margin is INR 193629.67).
request_127,11168.7,affordable_later,wait,none,2024-10-15,none,Wait until 2024-10-15 to pay ZAR 23980 in full. Paying before 2024-10-15 would breach the ZAR 41000.00 minimum balance requirement.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Full payment of ZAR 25168 today on 2025-02-07. Maintains minimum balance requirement of ZAR 42600.00 (forecast safety margin is ZAR 26889.00).
request_129,109.93,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2668.8 request by desired completion date 2026-06-18. Although safe amount today is USD 109.93, full payment cannot be safely completed without breaching the minimum balance requirement of USD 800.00."
request_130,351.23,affordable_later,wait,none,2025-02-15,none,Wait until 2025-02-15 to pay USD 1978.8 in full. Paying before 2025-02-15 would breach the USD 1400.00 minimum balance requirement.
request_131,1412.08,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-15,none,Payment option payment_option_372: 3 installments of USD 643.14 starting 2025-05-06 totaling USD 1929.42. Maintains balance above minimum requirement USD 1100.00.
request_132,249.03,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 379.86 request by desired completion date 2026-02-25. Although safe amount today is USD 249.03, full payment cannot be safely completed without breaching the minimum balance requirement of USD 1100.00."
request_133,15770000,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 15770000 request by desired completion date 2024-03-29. Although safe amount today is IDR 15770000, full payment cannot be safely completed without breaching the minimum balance requirement of IDR 9986200.00."
request_134,6003715.82,affordable_later,wait,none,2025-09-15,none,Wait until 2025-09-15 to pay IDR 21831000 in full. Paying before 2025-09-15 would breach the IDR 15902500.00 minimum balance requirement.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Full payment of USD 304.8 today on 2026-07-06. Maintains minimum balance requirement of USD 500.00 (forecast safety margin is USD 308.73).
request_136,519.86,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 560.4 request by desired completion date 2024-06-14. Although safe amount today is USD 519.86, full payment cannot be safely completed without breaching the minimum balance requirement of USD 1100.00."
request_137,32601.58,affordable_later,wait,none,2025-12-15,none,Wait until 2025-12-15 to pay INR 80100 in full. Paying before 2025-12-15 would breach the INR 71800.00 minimum balance requirement.
request_138,520.51,affordable_with_plan,partial_payment,2026-04-07:520.51|2026-04-15:736.43,2026-04-15,none,Partial payment plan: Pay safe amount EUR 520.51 today on 2026-04-07 and remaining EUR 736.43 on 2026-04-15. Completes full requested EUR 1256.94 by desired completion date 2026-06-05 while protecting EUR 2300.00 minimum.
request_139,1270.21,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2316 request by desired completion date 2024-11-17. Although safe amount today is USD 1270.21, full payment cannot be safely completed without breaching the minimum balance requirement of USD 1500.00."
request_140,3240.5,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62832 request by desired completion date 2025-03-04. Although safe amount today is ZAR 3240.5, full payment cannot be safely completed without breaching the minimum balance requirement of ZAR 21600.00."
request_141,31018.33,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171600 request by desired completion date 2026-02-12. Although safe amount today is INR 31018.33, full payment cannot be safely completed without breaching the minimum balance requirement of INR 67300.00."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Full payment of USD 1263.6 today on 2024-12-05. Maintains minimum balance requirement of USD 1700.00 (forecast safety margin is USD 3860.95).
request_143,2323.95,affordable_later,wait,none,2025-07-15,none,Wait until 2025-07-15 to pay ZAR 12584 in full. Paying before 2025-07-15 would breach the ZAR 11300.00 minimum balance requirement.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Full payment of USD 233.34 today on 2026-07-04. Maintains minimum balance requirement of USD 600.00 (forecast safety margin is USD 263.51).
request_145,49394.18,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,Payment option payment_option_412: 3 installments of INR 75365.33 starting 2024-03-20 totaling INR 226095.99. Maintains balance above minimum requirement INR 155400.00.
request_146,8347.07,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449400 request by desired completion date 2025-10-17. Although safe amount today is INR 8347.07, full payment cannot be safely completed without breaching the minimum balance requirement of INR 108600.00."
request_147,461.91,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,Payment option payment_option_418: 3 installments of EUR 391.63 starting 2026-04-08 totaling EUR 1174.89. Maintains balance above minimum requirement EUR 900.00.
request_148,9490.83,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,Payment option payment_option_421: 3 installments of ZAR 7710.56 starting 2024-06-14 totaling ZAR 23131.68. Maintains balance above minimum requirement ZAR 20000.00.
request_149,21228.03,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 36652 request by desired completion date 2026-01-19. Although safe amount today is ZAR 21228.03, full payment cannot be safely completed without breaching the minimum balance requirement of ZAR 42100.00."
request_150,152.63,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 496.1 request by desired completion date 2026-03-16. Although safe amount today is EUR 152.63, full payment cannot be safely completed without breaching the minimum balance requirement of EUR 700.00."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Full payment of IDR 26999000 today on 2024-09-03. Maintains minimum balance requirement of IDR 31633600.00 (forecast safety margin is IDR 30828880.53).
request_152,11953.5,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,Payment option payment_option_433: 3 installments of ZAR 4812.43 starting 2025-02-12 totaling ZAR 14437.29. Maintains balance above minimum requirement ZAR 11900.00.
request_153,218.12,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2830.8 request by desired completion date 2026-09-24. Although safe amount today is USD 218.12, full payment cannot be safely completed without breaching the minimum balance requirement of USD 1400.00."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:1625.8,2024-12-04,none,Payment option payment_option_439: 1 installments of EUR 1625.8 starting 2024-12-04 totaling EUR 1625.8. Maintains balance above minimum requirement EUR 1300.00.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Full payment of INR 112500 today on 2025-05-06. Maintains minimum balance requirement of INR 56300.00 (forecast safety margin is INR 138120.77).
